Frequency(Hz),Magnitude(dB),Phase(deg),Fault_Type
10.0,31.167295913515694,91.49594504809033,Interturn_Fault
10.233402121916416,31.04736838701652,91.43265155899803,Interturn_Fault
10.472251898884348,31.35926408111956,91.8651170991346,Interturn_Fault
10.716676480328632,30.939413478672897,91.33241383728983,Interturn_Fault
10.966805983368683,30.927411936871504,91.0521448833912,Interturn_Fault
11.222773562085075,30.892537720386976,91.53740089257626,Interturn_Fault
11.484715478402896,30.535445348530185,89.52948757909586,Interturn_Fault
11.752771174629451,30.166283495477884,89.76114202210606,Interturn_Fault
12.02708334768512,30.391833745893134,89.79420768365517,Interturn_Fault
12.307798025066653,30.175130462161263,89.3244674020883,Interturn_Fault
12.595064642583576,29.9662872287282,87.79235370840178,Interturn_Fault
12.889036123908928,29.84917022555824,88.49176354059345,Interturn_Fault
13.1898689619867,29.166272857109032,87.01298911343133,Interturn_Fault
13.497723302339423,28.73675533184467,84.48765674504043,Interturn_Fault
13.812763028320092,29.551502315422574,86.89569642721945,Interturn_Fault
14.135155848353955,28.81014074610171,84.63887292740498,Interturn_Fault
14.465073385216463,28.430547335404608,84.21717338044691,Interturn_Fault
14.802691267395094,28.58223003298937,84.56456976083041,Interturn_Fault
15.148189222583458,28.472762616700468,84.32226745225148,Interturn_Fault
15.501751173357706,27.8698631173358,83.1614460660679,Interturn_Fault
15.863565335085903,27.683780507877184,82.07133308908112,Interturn_Fault
16.23382431612278,26.982267884278134,79.48136872015696,Interturn_Fault
16.61272522034293,27.550647477312765,81.6119719918715,Interturn_Fault
17.000469752067172,26.99103364050166,78.78764520184426,Interturn_Fault
17.397264323438016,27.047045698516015,78.50123217054266,Interturn_Fault
17.803320164301137,26.94089141833023,79.33505848847611,Interturn_Fault
18.21885343465167,26.6657466595454,78.51030648554007,Interturn_Fault
18.644085339704866,26.425340048444895,78.0753006854945,Interturn_Fault
19.079242247652655,26.26180401636801,78.07095788110405,Interturn_Fault
19.524555810168607,26.140811872668607,77.56618684579304,Interturn_Fault
19.980263085725507,25.714936126086908,76.66641322292931,Interturn_Fault
20.446606665791165,25.416067981678058,74.32093391258262,Interturn_Fault
20.92383480396977,25.75984514461163,76.568133505261,Interturn_Fault
21.41220154815729,24.624535581847287,72.68250392552089,Interturn_Fault
21.91196687578149,24.749169763544973,73.23778377181941,Interturn_Fault
22.42339683219846,25.33954673024715,74.02592328310207,Interturn_Fault
22.946763672319364,24.95953504531698,73.59056724074347,Interturn_Fault
23.48234600554277,24.458920194219317,72.55756995579937,Interturn_Fault
24.030428944069683,24.11627717041433,71.24136006997529,Interturn_Fault
24.59130425468045,23.745861577335504,70.7683962905817,Interturn_Fault
25.165270514053915,23.835883324951407,70.06050596496985,Interturn_Fault
25.75263326771201,23.37578622816937,68.89056226652617,Interturn_Fault
26.353705192673942,23.424689937120124,70.22888815346839,Interturn_Fault
26.968806263906924,23.298546591721415,68.96842366447213,Interturn_Fault
27.598263924661804,22.549511150942504,67.4493345833237,Interturn_Fault
28.24241326078436,23.16284536463521,68.64458924082977,Interturn_Fault
28.901597179095106,22.843426188577364,67.91999593456511,Interturn_Fault
29.576166589932534,22.34548208030639,66.37691813712289,Interturn_Fault
30.26648059395692,22.3584179435379,65.70290940800261,Interturn_Fault
30.972906673314085,21.906147533527644,64.02541541365844,Interturn_Fault
31.695820887261156,21.998504616005444,64.80109419070429,Interturn_Fault
32.435608072358114,22.069714386188164,65.86227659717677,Interturn_Fault
33.1926620473319,21.32021152684022,63.80901659742396,Interturn_Fault
33.96738582272207,21.110763045361548,62.06109797978128,Interturn_Fault
34.76019181541977,21.15919276517577,63.05913629258289,Interturn_Fault
35.57150206821386,21.109869905241432,61.82443204558062,Interturn_Fault
36.40174847446141,20.779985749387222,61.91698216942914,Interturn_Fault
37.25137300800211,20.428886847228938,61.016841981306605,Interturn_Fault
38.12082795843888,20.519886513816235,60.80084760571079,Interturn_Fault
39.01057617190993,20.231977639259117,60.70537528706173,Interturn_Fault
39.92109129748052,20.208215435376765,59.692264077145424,Interturn_Fault
40.852858039285614,19.63976202155617,58.41729137494603,Interturn_Fault
41.80637241455758,20.019218548339275,58.76235832411955,Interturn_Fault
42.78214201767617,19.279411332119334,57.3007584224878,Interturn_Fault
43.78068629038168,19.25498821955548,56.44218746989066,Interturn_Fault
44.802536798294895,19.159359901993213,56.29941988376294,Interturn_Fault
45.848237513890965,19.240390860065038,56.4999368471094,Interturn_Fault
46.91834510607799,18.768491150759512,55.19190778184202,Interturn_Fault
48.01342923653453,18.3671201008176,54.24117994253376,Interturn_Fault
49.13407286296362,18.208539455007347,54.057195267438715,Interturn_Fault
50.2808725494248,17.776946367068657,53.16029096102225,Interturn_Fault
51.45443878390927,17.990160056853224,53.54436937466147,Interturn_Fault
52.65539630332756,17.352467028924856,51.71373592829647,Interturn_Fault
53.88438442608224,17.928357931180226,51.872213006320784,Interturn_Fault
55.14205739240302,17.10506852346105,50.31982980947621,Interturn_Fault
56.4290847126254,17.06713566097096,51.357428621678864,Interturn_Fault
57.7461515235982,16.842690454496363,50.155396228020415,Interturn_Fault
59.0939589534097,16.719838756209906,49.14460282615084,Interturn_Fault
60.473224494626486,15.94167295011668,47.879464634001685,Interturn_Fault
61.88468238624386,16.09296439997211,47.53073915668126,Interturn_Fault
63.32908400455115,16.18583054065389,46.89876565126462,Interturn_Fault
64.8071982631197,15.698074866227909,47.23271605809,Interturn_Fault
66.31981202212673,15.827037842679673,45.95472093556359,Interturn_Fault
67.86773050723295,15.395451815675417,46.390590507846646,Interturn_Fault
69.45177773823696,14.989755516773943,45.11547558832867,Interturn_Fault
71.07279696773419,15.248873302159565,44.56413060577914,Interturn_Fault
72.73165113001458,15.23452521081236,44.49839102294062,Interturn_Fault
74.42922330043757,14.4980741270294,42.177090064684194,Interturn_Fault
76.16641716552891,14.446399396804187,42.3888533873909,Interturn_Fault
77.9441575040495,14.537846156448284,42.56387874148984,Interturn_Fault
79.76339067929277,14.334501842036909,43.406641567124744,Interturn_Fault
